题目ID	题目	正确答案	答案1	答案2	答案3	答案4
int	string	int	string	string	string	string
QuestionID	Question	TureAnswer	Answer1	Answer2	Answer3	Answer4
1001	Question1	1	Answer1_1	Answer1_2	Answer1_3	Answer1_4
1010	Question10	2	Answer10_2	Answer10_1	Answer10_3	Answer10_4
1011	Question11	2	Answer11_2	Answer11_1	Answer11_3	Answer11_4
1012	Question12	2	Answer12_2	Answer12_1	Answer12_3	Answer12_4
1013	Question13	2	Answer13_2	Answer13_1	Answer13_3	Answer13_4
1014	Question14	2	Answer14_2	Answer14_1	Answer14_3	Answer14_4
1015	Question15	2	Answer15_2	Answer15_1	Answer15_3	Answer15_4
1016	Question16	2	Answer16_2	Answer16_1	Answer16_3	Answer16_4
1018	Question18	2	Answer18_2	Answer18_1	Answer18_3	Answer18_4
1019	Question19	1	Answer19_1	Answer19_2	Answer19_3	Answer19_4
1020	Question20	1	Answer20_1	Answer20_2	Answer20_3	Answer20_4
1021	Question21	1	Answer21_1	Answer21_2	Answer21_3	Answer21_4
1022	Question22	1	Answer22_1	Answer22_2	Answer22_3	Answer22_4
1023	Question23	1	Answer23_1	Answer23_2	Answer23_3	Answer23_4
1024	Question24	1	Answer24_1	Answer24_2	Answer24_3	Answer24_4
1025	Question25	3	Answer25_2	Answer25_3	Answer25_1	Answer25_4
1026	Question26	3	Answer26_2	Answer26_3	Answer26_1	Answer26_4
1027	Question27	3	Answer27_2	Answer27_3	Answer27_1	Answer27_4
1028	Question28	3	Answer28_2	Answer28_3	Answer28_1	Answer28_4
1029	Question29	3	Answer29_2	Answer29_3	Answer29_1	Answer29_4
1030	Question30	3	Answer30_2	Answer30_3	Answer30_1	Answer30_4
1031	Question31	3	Answer31_2	Answer31_3	Answer31_1	Answer31_4
1032	Question32	3	Answer32_2	Answer32_3	Answer32_1	Answer32_4
1033	Question33	3	Answer33_2	Answer33_3	Answer33_1	Answer33_4
1035	Question35	3	Answer35_2	Answer35_3	Answer35_1	Answer35_4
1036	Question36	1	Answer36_1	Answer36_2	Answer36_3	Answer36_4
1037	Question37	1	Answer37_1	Answer37_2	Answer37_3	Answer37_4
1038	Question38	1	Answer38_1	Answer38_2	Answer38_3	Answer38_4
1040	Question40	4	Answer40_2	Answer40_4	Answer40_3	Answer40_1
1042	Question42	4	Answer42_2	Answer42_4	Answer42_3	Answer42_1
1043	Question43	4	Answer43_2	Answer43_4	Answer43_3	Answer43_1
