流水	1级菜单ID	1级菜单名	命令选项名	GM命令	命令备注
int	int	string	string	string	string
SID	MenuID	MenuName	GMName	GMCode	GMDes
1	1	任务相关	重置所有任务	cleartask	重置所有任务，执行后最好手动重启客户端
2	1	任务相关	添加主线任务	addtask	addtask id 添加主线任务，id参考task表
3	1	任务相关	快速跳过主线任务	finishtask	finishtask taskid 快速跳过主线任务
4	2	快速创角	快速创建40级账号	gm_lvup_40	40等级和40套装
5	2	快速创角	快速创建50级账号	gm_lvup_50	50等级和50套装
6	2	快速创角	快速创建60级账号	gm_lvup_60	60等级和60套装
7	3	常用指令	dump数据	dumpobj	直接输入时dump自己的数据，如果添加目标id就是dump目标的
8	3	常用指令	原地转职	changehero heroid	男战士hero101，女法师hero102，女弓手hero103，女牧师hero104，男刺客hero105，男弓手hero107，男牧师hero108，男骑士hero106
9	3	常用指令	设置货币数值	setmoney 1,100	货币类型：1-银币，2- 金币，3-钻石 其他数值可以参考item表中的字段
10	3	常用指令	清理背包	clearbag	清理背包（不清理临时背包）
